"ID","RLH"
1,0.952902093977207
2,0.992720954282999
3,0.953692731350838
4,0.990842393322423
5,0.861426175794444
6,0.928458796737663
7,0.991621304206798
8,0.735911611791507
9,0.723568565278189
10,0.897637865286507
11,0.98222942216394
12,0.988600145789753
13,0.938137820613744
14,0.972237485827212
15,0.983931300121642
16,0.986085301402929
17,0.89773051278331
18,0.810231728936763
19,0.943478916879493
20,0.902891368516048
21,0.957085276111729
22,0.853497294097081
23,0.936117973661801
24,0.980074052666725
25,0.991888558976718
26,0.830594432230447
27,0.981123690763235
28,0.980346163085754
29,0.983672032320259
30,0.91969564385616
31,0.953578648290281
32,0.692625216217617
33,0.98546194443253
34,0.980163432961952
35,0.479448977385442
36,0.955299648128842
37,0.818847176877224
38,0.969032672936863
39,0.448198242123581
40,0.981939087765228
41,0.951543394207427
42,0.668913105298418
43,0.976251430553338
44,0.980922479172774
45,0.567299642279218
46,0.993228992009134
47,0.954136775269536
48,0.829635613943411
49,0.98901699503947
50,0.8665813881492
